title,link,price
"Redmi 9 (Carbon Black, 64 GB)",https://www.flipkart.com/redmi-9-carbon-black-64-gb/p/itm4fb151383983b?pid=MOBFVHMPGATFZXWR&lid=LSTMOBFVHMPGATFZXWRAMCBY4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVHMPGATFZXWR.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹8,868"
"Redmi 9 (Sky Blue, 64 GB)",https://www.flipkart.com/redmi-9-sky-blue-64-gb/p/itm4fb151383983b?pid=MOBFV5FPUS8UHG9H&lid=LSTMOBFV5FPUS8UHG9HR4D2FU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFV5FPUS8UHG9H.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹8,926"
"Redmi 9 (Sporty Orange, 64 GB)",https://www.flipkart.com/redmi-9-sporty-orange-64-gb/p/itm4fb151383983b?pid=MOBFV5FPCJC9ZKRB&lid=LSTMOBFV5FPCJC9ZKRBGJY4JX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFV5FPCJC9ZKRB.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹8,966"
"Redmi 9A (SeaBlue, 32 GB)",https://www.flipkart.com/redmi-9a-seablue-32-gb/p/itmeabd39a0cd669?pid=MOBFVD9ZGTYR2WGR&lid=LSTMOBFVD9ZGTYR2WGRTI4SZ6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVD9ZGTYR2WGR.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,399"
"Redmi 9A (Midnight Black, 32 GB)",https://www.flipkart.com/redmi-9a-midnight-black-32-gb/p/itmeabd39a0cd669?pid=MOBFVDA2RWTCFBHZ&lid=LSTMOBFVDA2RWTCFBHZC9GCG4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVDA2RWTCFBHZ.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,249"
"Redmi 9A (Nature Green, 32 GB)",https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDA5QCGNZKH9&lid=LSTMOBFVDA5QCGNZKH9LPVRPQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVDA5QCGNZKH9.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,389"
"Redmi 9 (Sky Blue, 128 GB)",https://www.flipkart.com/redmi-9-sky-blue-128-gb/p/itm4fb151383983b?pid=MOBFV5FPGQPG9CEZ&lid=LSTMOBFV5FPGQPG9CEZCBC0HH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFV5FPGQPG9CEZ.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹10,083"
"Redmi 9A (Midnight Black, 32 GB)",https://www.flipkart.com/redmi-9a-midnight-black-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAYRH3GYNZT&lid=LSTMOBFVDAYRH3GYNZTGUQBP6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVDAYRH3GYNZT.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,769"
"Redmi 9A (Nature Green, 32 GB)",https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAFCKBNXQ7E&lid=LSTMOBFVDAFCKBNXQ7EF3JZLN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVDAFCKBNXQ7E.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,725"
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-64-gb/p/itma84d60532d415?pid=MOBFPZXUJHMYCBFK&lid=LSTMOBFPZXUJHMYCBFKZANEBR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFPZXUJHMYCBFK.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹13,700"
